text,mid
我们要时刻注意孩子的精神状态,4909652838714443
感谢老师的分享，一定收藏,4909652838714443
操不完的心,4909652838714443
要多给孩子宽松的环境，让他们快乐的成长,4909652838714443
不安分青年，不负时光，解锁更多可能,4909652838714443
孩子就应该有个美好的童年,4909652838714443
孩子是父母们人生中最大的投资····,4909652838714443
孩子的教育确实是一门学问,4909652838714443
所以让孩子感受一下，放松,4909652838714443
现在孩子的压力感觉比我们还大,4909652838714443
所以说无论孩子说什么，都不要急着评判和否定,4909652838714443
认可，理解，表扬，赞美，肯定，对6岁孩子非常有用,4909652838714443
多多鼓励孩子，让孩子健康长大,4909652838714443
拒绝精神内耗 童年要有童年的样子,4909652838714443
小小年纪不要让孩子精神内耗,4909652838714443
学到了，又涨知识了,4909652838714443
发现孩子陷入内耗的状态，就应该有充足的耐心去了解孩子此时的需求和困难，不要一味地指责,4909652838714443
现在的小孩子压力太大了，该有的童年都没有了,4909652838714443
实则忧虑过度，优柔寡断！,4909652838714443
一定要让孩子有一个美好的童年,4909652838714443
让我们多多鼓励孩子，多多引导孩子,4909652838714443
孩子的心理健康应该重视起来,4909652838714443
拒绝精神内耗啊，要理解啊,4909652838714443
新手麻麻来报道,4909652838714443
希望孩子能够快乐成长吧,4909652838714443
喜欢了，喜欢了,4909652838714443
孩子们健健康康成长至关重要,4909652838714443
希望能多给孩子一些自由，别给太大压力,4909652838714443
妈妈越来越难了，又要工作要到带孩子,4909652838714443
我觉得我很内耗的其中一个原因是和他们阐述自己的情绪或者内心，他们会直接无视并且装作听不见。,4909652838714443
太难了,4909652838714443
要多鼓励孩子 让孩子更自信,4909652838714443
希望每一位善良的人都是平平安安的,4909652838714443
想要带好一个孩子太难了,4909652838714443
要给孩子做好疏导，不让孩子有压力,4909652838714443
多鼓励耐心沟通，不要给孩子造成压力,4909652838714443
孩子的健康成长真的太重要！一定多多关注,4909652838714443
我可以照着微博带孩子了，哈哈哈哈,4909652838714443
这么小的就有精神内耗了，是父母的原因呀,4909652838714443
对孩子要有耐心多鼓励多表扬为主,4909652838714443
环境还是挺不错的,4909652838714443
不管是父母还是我们自己，我们都不是完美的，我们都有自己心里的执念，我们都会对人有不切实际的期望，怪谁都没有必要，真正需要的永远是包容宽恕和忍耐。,4909652838714443
今天又学到了很多，以前有一些细节方面还真的不懂,4909652838714443
看来孩子的教育确实是一件会让人头疼的问题啊！太难了啊。,4909652838714443
拒绝精神内耗，希望能多给孩子一些自由，多多关注孩子,4909652838714443
现在的孩子们，压力也很大,4909652838714443
厉害了,4909652838714443
怪别人只会增加更多的烦恼和怨恨，一步一步放过自己，把自己打开，知道什么才是正确的教育方式就可以了 未来对自己孩子更宽容一点,4909652838714443
如果妈妈有工资的话,4909652838714443
当了妈妈以后有操不完的心，啥都要为孩子着想，担心这样担心那样,4909652838714443
有了孩子才发现自己好多都不懂,4909652838714443
手下，GET了！,4909652838714443
讲的很好感谢分享,4909652838714443
孩子精神健康更重要，一定要培养孩子健康人格,4909652838714443
孩子的压力也很大,4909652838714443
应该多鼓励孩子，不要批评,4909652838714443
一定不要让孩子精神内耗,4909652838714443
孩子一定要多鼓励，多理解能,4909652838714443
给孩子一个完美的童年，不要有太大的压力给他们,4909652838714443
小小年纪不要有压力，不要有精神内耗,4909652838714443
拒绝精神内耗,4909652838714443
我和我姐姐就是，从小她就乐观，什么事都不琢磨，过去就过去了。我就爱想，经常把自己cpu弄烧了,4909652838714443
孩子的这种压力，肯定是父母给的,4909652838714443
老师讲的都是干货呀，很是受益呀,4909652838714443
父母每一次在教育孩子时，不仅塑造着孩子的行为，也在刻画孩子的认知体系。,4909652838714443
要多给孩子耐心与关爱,4909652838714443
这么小的孩子也开始内耗了,4909652838714443
现在孩子压力 确实有点大,4909652838714443
其实我觉得孩子的精神内耗值得重视,4909652838714443
选择的方式方法，如何去教育，最好的。,4909652838714443
我收藏了好多,4909652838714443
希望孩子可以摆脱精神内耗,4909652838714443
好好让孩子有一个快乐的童年,4909652838714443
现在的孩子压力很大,4909652838714443
分析的太对了。所以我们在关注孩子成长的过程中，也要关注孩子的心理。,4909652838714443
谢谢博主分享！,4909652838714443
一个温暖充满爱的家庭，孩子应该是充满阳光和自信的。至少在青春期以前,4909652838714443
所以要密切关注孩子心里健康,4909652838714443
我到底是怎么长大的,4909652838714443
又跟着学到了，教育孩子太不容易了,4909652838714443
一定要对孩子认真好好对待,4909652838714443
孩子的性格阳光健康与否真的是家庭氛围带给她的…,4909652838714443
孩子的精神健康很重要，平时一定要重视起来,4909652838714443
原生家庭环境对一个人影响很大,4909652838714443
六岁的孩子就开精神内耗了太可怕了,4909652838714443
说的太对了，所以做家长的真的是要用心啊。,4909652838714443
没想到小孩子也会有这样的烦恼,4909652838714443
转发了@吃货温柔楠 @宝妈妈 @李漂亮是大名,4909652838714443
真的是走心了 很棒,4909652838714443
我们要时刻关注孩子的健康成长,4909652838714443
这种也不错,4909652838714443
打工人上线,4909652838714443
不愧是我特别关注的博主，每次发的都是我爱看的,4909652838714443
每天gei一个新知识,4909652838714443
这是什么情况不懂问问,4909652838714443
一定要给孩子多些理解和多些关注,4909652838714443
内耗很大一部分是和大脑的神经连接有关，可以说是天生的，对周围环境很敏感，不好的环境会加重内耗,4909652838714443
孩子健康成长是最重要的,4909652838714443
培养孩子心理健康，必须从小抓起，让孩子从小养成健康向上的生活氛围,4909652838714443
我觉得还是心态要好些啊,4909652838714443
强烈建议收藏！,4909652838714443
6岁孩子的精神内耗家长们一定要小心对待，教育方法最重要了,4909652838714443
孩子也是有压力的，所以父母在教育子女时要讲究方式方法,4909652838714443
多点关爱儿童，呵护孩子健康成长,4909652838714443
谢谢推荐,4909652838714443
真的是学到了很多，多关注孩子,4909652838714443
建议爸爸妈妈都要看,4909652838714443
孩子该有的样子就是快乐的童年,4909652838714443
孩子也是有压力的，还是让孩子健康成长吧,4909652838714443
一定要注意啊这个,4909652838714443
小小年纪不要强加太多压力,4909652838714443
精神内耗真的是十分可怕，要好好照顾孩子,4909652838714443
心理健康要关注，及时沟通,4909652838714443
应该要有充足的耐心啊！,4909652838714443
关注你好久了,4909652838714443
现在孩子压力真心的大,4909652838714443
需要时刻关注孩子身心健康,4909652838714443
今天可以上热评吗,4909652838714443
让我们一起来了解一下吧。,4909652838714443
希望孩子开开心心的，不要有精神内耗,4909652838714443
不要内耗，身体健康最重要,4909652838714443
孩子的健康成长非常重要！多关注,4909652838714443
对待孩子还是要多鼓励和多支持啊，必须耐心教育,4909652838714443
真没想到6岁的小屁孩也有压力，看来我们成人也要多点站小孩子的角度为他们多着想。,4909652838714443
我读书都没有这么认真过,4909652838714443
不要给孩子太大的压力，开心一点的童年,4909652838714443
孩子有困难时一定要多理解多包容,4909652838714443
点了，拒绝精神内耗,4909652838714443
已经分享了！,4909652838714443
孩子的心理健康要被重视，多给些孩子关注吧,4909652838714443
头炸了，好多东西我都不知道,4909652838714443
高考加油👏顺顺利利,4909658240191563
高考加油 金榜题名！！演唱会见,4909658240191563
祝考生们金榜题名，一切顺利,4909658240191563
祝愿学子们高考加油，金榜题名！,4909658240191563
高考加油,4909658240191563
又有一批人准备实现自己的梦想啦！！！,4909658240191563
#张杰点歌台# 愿大家都有远大前程、未来可期。@张杰,4909658240191563
老公我已经大一啦,4909658240191563
高考顺利！金榜题名,4909658240191563
参加高考的宝贝们加油冲冲冲！[努力][努力],4909658240191563
㊗️考生们金榜题名[努力],4909658240191563
㊗️愿所有高三学子 历尽千帆 得偿所愿 旗开得胜 金榜题名 加油,4909658240191563
高考大捷[笑就对了],4909658240191563
高考生加油,4909658240191563
祝各位考生高考顺利！金榜题名,4909658240191563
高考加油哦早点官宣深圳哦,4909658240191563
高三星加油！考完一起看演唱会！,4909658240191563
高考加油～！,4909658240191563
祝各位考生高考顺利,4909658240191563
深圳,4909658240191563
