id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4785983252595011,LA4OFaT51,3288875501,河南日报,【#香港小朋友表白祖国祝福香港#】“我和我的祖国永远都不分开。”“我们都有一个家，名字叫中国！”#香港回归祖国25周年#之际，香港的萌娃们表白祖国，祝福香港↓↓明天会更好！（央视新闻）L央视新闻的微博视频,,,,"香港小朋友表白祖国祝福香港,香港回归祖国25周年",1,0,7,2022-06-30 08:59,微博视频号,,"http://f.video.weibocdn.com/o0/zYNdZG6Glx07Xf9U0Cm401041200uTwE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=QRf88FciR8&KID=unistore,video",
4785983209867337,LA4OAFoWB,2948052130,彭州检察,【#香港回归25周年纪念曲祝福#】“送你送你，祝福永不断；轻轻地飘，寻觅无边路远；借那鸟语，路上细添温暖；拜托清风，奉上衷心，祝福千串。”一首#周深粤语演唱祝福#，献礼#香港回归祖国25年#。祝福祖国，祝福香港！L人民日报的微博视频,,,,"香港回归25周年纪念曲祝福,周深粤语演唱祝福,香港回归祖国25年",0,0,2,2022-06-30 08:59,iPhone客户端,,"http://f.video.weibocdn.com/o0/Hu3evusWlx07Xetkocwo010412033Vu50E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=Ml3prhSfl3&KID=unistore,video",
4785983151408317,LA4Ov5UmN,1638403834,沐晨凡凡,白云过山峰明珠焕新彩——写在香港回归祖国25周年之际（中国经济桥头堡的作用必须焕发新彩）,,,,,0,0,0,2022-06-30 08:59,微博 weibo.com,,,
4785983138566086,LA4OtzWqG,3215198700,陇南徽县发布,【#航拍看香港十二时辰#】粮船湾的超级火山绿意盎然，烟火氤氲的香港街头色彩斑斓。错落的天桥，穿梭的电车，翻滚的海浪，热闹的夜市……看视频↓↓总台纪录片《#空中看香港#》带你俯瞰东方之珠的美景！#香港回归祖国25周年#L央视新闻的微博视频,,,,"航拍看香港十二时辰,空中看香港,香港回归祖国25周年",1,0,0,2022-06-30 08:59,微博视频号,,"http://f.video.weibocdn.com/o0/pCbZ1ioYlx07XdDE2c7S01041202vqvc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=ZhTswfdew%2F&KID=unistore,video",
4785983113398232,LA4Oreg2c,5303796868,三台交警大队,【#香港小朋友表白祖国祝福香港#】“我和我的祖国永远都不分开。”“我们都有一个家，名字叫中国！”#香港回归祖国25周年#之际，香港的萌娃们表白祖国，祝福香港↓↓明天会更好！（总台记者邵天凤郭锐）L央视新闻的微博视频,,,,"香港小朋友表白祖国祝福香港,香港回归祖国25周年",0,0,0,2022-06-30 08:59,微博视频号,,"http://f.video.weibocdn.com/o0/zYNdZG6Glx07Xf9U0Cm401041200uTwE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=QRf88FciR8&KID=unistore,video",
4785983067787292,LA4OmwFPu,5303796868,三台交警大队,【超好听！这段#紫荆花盛开MV#，满满都是家的爱】“紫荆花飘扬，飞向避风的海港”“心中的紫荆花，凭爱开花，同处一家”……@央视新闻邀#梁咏琪李荣浩共唱紫荆花盛开#↓让我们晴雨相拥，相守相望，看那骄傲的枝丫，春暖后又开花！#香港回归祖国25周年#之际，传递，一起祝福香港，明天会更好！@梁詠琪@李荣浩L央视新闻的微博视频,,,"央视新闻,梁詠琪,李荣浩","紫荆花盛开MV,梁咏琪李荣浩共唱紫荆花盛开,香港回归祖国25周年",0,0,1,2022-06-30 08:59,微博视频号,,"http://f.video.weibocdn.com/o0/xij5kTLOlx07XfJYUngI01041202kC6X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=pMvMr%2Fjo6v&KID=unistore,video",
4785983046287886,LA4OkqnLw,3215198700,陇南徽县发布,【超好听！这段#紫荆花盛开MV#，满满都是家的爱】“紫荆花飘扬，飞向避风的海港”“心中的紫荆花，凭爱开花，同处一家”……@央视新闻邀#梁咏琪李荣浩共唱紫荆花盛开#↓让我们晴雨相拥，相守相望，看那骄傲的枝丫，春暖后又开花！#香港回归祖国25周年#之际，传递，一起祝福香港，明天会更好！@梁詠琪@李荣浩L央视新闻的微博视频,,,"央视新闻,梁詠琪,李荣浩","紫荆花盛开MV,梁咏琪李荣浩共唱紫荆花盛开,香港回归祖国25周年",0,0,1,2022-06-30 08:58,微博视频号,,"http://f.video.weibocdn.com/o0/xij5kTLOlx07XfJYUngI01041202kC6X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=pMvMr%2Fjo6v&KID=unistore,video",
4785983000150205,LA4Og0D4F,1916472400,云南江川,【#明珠耀香江#丨#热烈庆祝香港回归祖国25周年#】世界上所有的路都与家有关，离家越远，越是感到血脉相连。在昆仑山，听见狮子山上的呼唤；在香江，尝到黄河的思念。历经一个半世纪的旅程，远行游子身归故里，从此不再无依无靠。身边有了温暖的双手，背后有了强大的支撑。每当风暴来临都不再是孤身对抗，而是和家人一起迎来希望。家是心安之处，狮子山下的青苗已长成参天的栋梁；家是美好的开端，南中国海的巨轮在时代的东风下开启新航。尽管新的道路必历风雨，但路上已不再是游子孤单的脚步，而是14亿人身同向心同往，手握得更紧，心贴得更近。家成为了大家，梦汇成更大的梦，让东方之珠绽放耀眼的光芒！（央视网快看）L央视网快看的微博视频,,,,"明珠耀香江,热烈庆祝香港回归祖国25周年",0,0,0,2022-06-30 08:58,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ykms9jm9lx07XelNXoko01041201rerA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=Q7y6rzrmzn&KID=unistore,video",
4786058791224638,LA6Mv58Ae,6224300312,长春经开检察院,【#香港满满红色迎回归纪念日#】大街小巷满挂国旗与区旗，维港两岸灯光璀璨，庆祝的横幅随处可见。25载春秋可鉴，这抹最美的中国红，一直都在！#香港回归祖国25周年#，期待香港再开新篇！一起传递！祝福#香港会更好#！,,,,"香港满满红色迎回归纪念日,香港回归祖国25周年,香港会更好",1,1,0,2022-06-30 13:59,微博网页版,"['https://wx2.sinaimg.cn/large/006NewQwly1h3q8dal1khj30u01hckfa.jpg', 'https://wx4.sinaimg.cn/large/006NewQwly1h3q8db9cpdj30u01hch2q.jpg', 'https://wx2.sinaimg.cn/large/006NewQwly1h3q8dbokd5j30u01hcdue.jpg', 'https://wx3.sinaimg.cn/large/006NewQwly1h3q8dc0e8xj30u01hc7ue.jpg', 'https://wx4.sinaimg.cn/large/006NewQwly1h3q8dca11ej30u01hcart.jpg', 'https://wx4.sinaimg.cn/large/006NewQwly1h3q8dcjg6sj30u01hcwxp.jpg', 'https://wx1.sinaimg.cn/large/006NewQwly1h3q8dcsw0vj30u01hcqnn.jpg', 'https://wx4.sinaimg.cn/large/006NewQwly1h3q8dd30hnj30u01hcqgj.jpg', 'https://wx2.sinaimg.cn/large/006NewQwly1h3q8ddbmywj30u01hcgwm.jpg']",,
4786058480583718,LA6M02rQO,2272669450,梁靖康,#一人一句话祝福香港##庆祝香港回归祖国25年#情重于山，心手相连。祝福香港回归祖国25周年。#狮子山下的故事#L梁靖康的微博视频,,,,"一人一句话祝福香港,庆祝香港回归祖国25年,狮子山下的故事",1543,2063,11516,2022-06-30 13:58,微博视频号,,"http://f.video.weibocdn.com/o0/j5VNdAvxlx07XfwYnpYs010412004pWL0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=4chWQpcbZT&KID=unistore,video",
4786058426845573,LA6LUsIQt,3728526493,新疆高院,【#香港同胞对祖国的贡献习主席如数家珍#】“梁振英先生1978年就到深圳、上海等地免费举办西方土地经济管理制度的讲座”，“梁定邦先生、史美伦女士帮助创建证券市场有关的监管制度，只拿‘一元人民币’的象征性年薪”……对于香港同胞为祖国发展做出的贡献，习近平主席记得十分清楚。殷殷嘱托，深深期许，传递着习主席对香港一如既往的亲切关怀和坚定支持。#香港牵动习主席的心##香港回归祖国25周年#L央视新闻的微博视频,,,,"香港同胞对祖国的贡献习主席如数家珍,香港牵动习主席的心,香港回归祖国25周年",1,0,2,2022-06-30 13:58,iPhone客户端,,"http://f.video.weibocdn.com/o0/AO166sfalx07Xfgd9Uso01041203IWQX0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=fApj%2BocgGW&KID=unistore,video",
4786058393288993,LA6LRdNCh,5345420764,华阴检察,【#香港回归祖国25年了#！视频回顾难忘瞬间】25年前的今天，香港回归祖国的怀抱。我们用一段视频，回顾香港回归的这25年。这是香港与祖国骨肉再相依，血脉重相连的25年，是香港与祖国风雨同舟，休戚与共的25年。#香港回归祖国25周年#L青流视频的微博视频,,,,"香港回归祖国25年了,香港回归祖国25周年",0,0,0,2022-06-30 13:58,iPhone客户端,,"http://f.video.weibocdn.com/o0/tT4lhsRAlx07XdLzkYIg01041203bPqf0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=FXRY62GY5P&KID=unistore,video",
4786058225517008,LA6LAn9e0,7476748260,大公文匯網,#庆祝香港回归25周年#明天是香港回归祖国25周年纪念日，港岛九龙等多地的公共交通工具上装饰了“同心庆回归　同行创未来”的标语，穿行在大街小巷，全港各地庆祝气氛日趋浓烈O网页链接,,,,庆祝香港回归25周年,3,3,54,2022-06-30 13:57,微博 weibo.com,"['https://wx4.sinaimg.cn/large/0089ZFLSly1h3q8axgbz0j31900u048n.jpg', 'https://wx3.sinaimg.cn/large/0089ZFLSly1h3q8axitr8j31900u0qdf.jpg', 'https://wx3.sinaimg.cn/large/0089ZFLSly1h3q8axnm6vj31900u07fp.jpg', 'https://wx2.sinaimg.cn/large/0089ZFLSly1h3q8axk4n7j31900u0gwz.jpg', 'https://wx4.sinaimg.cn/large/0089ZFLSly1h3q8axpb3ij31900u0n7d.jpg', 'https://wx3.sinaimg.cn/large/0089ZFLSly1h3q8axszn6j31900u0496.jpg']",,
4786058078716645,LA6LlAzB3,1899621707,广西卫视,#周深歌声与港片适配度#@卡布叻_周深为庆祝香港回归25周年，演唱了纪念曲《祝福》。周深悠扬的歌声搭配着抒情的旋律，带给了大家温暖人心的力量，也传递出祖国对香港的祝福。（来源：新浪音乐）L微博音乐的微博视频,,,卡布叻_周深,周深歌声与港片适配度,0,0,33,2022-06-30 13:57,微博视频号,,"http://f.video.weibocdn.com/o0/zw6yXVIrlx07XfkvJBGE010412034pZ10E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=gic%2FOc3kEQ&KID=unistore,video",
4786058002958763,LA6LecpHZ,1960785875,今晚报,【总台庆祝香港回归祖国25周年主题歌曲《我们会更好》MV上线！】今年是香港回归祖国25周年，为营造浓厚庆祝氛围，中央广播电视总台策划制作了庆祝香港回归祖国25周年主题歌曲《我们会更好》。歌曲生动展现回归以来香港在积极融入国家发展大局中所取得的巨大成就，充分展示粤港澳大湾区发展的美好未来，用音乐独特的感召力和穿透力，传递香港各界同胞期盼背靠祖国香港更加繁荣稳定、未来会更好的心声，增强社会各界尤其是青少年的国家认同感和自豪感，激励更多香港同胞与祖国同发展、共奋进。L大湾区之声的微博视频O总台庆祝香港回归祖国25周年主题歌曲《我们会更好》MV上线！,,,,,1,0,0,2022-06-30 13:56,微博视频号,,"http://f.video.weibocdn.com/u0/8nCY9LnSgx07X60c6h8401041202jaG40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=uMC5dw4yA5&KID=unistore,video",
4786057864546956,LA6L0j4S0,3286015454,琥珀四重奏,为庆祝香港回归祖国25周年，琥珀四重奏X中国对外文化集团有限公司X新华社快看共同推出《合弦·庆祝香港回归祖国25周年沉浸式音乐会》。这一次，我们想邀请你走入熟悉却陌生的艺术空间，一起享受弦乐的魅力。详情：O琥珀四重奏｜合弦·沉浸式音乐会,,,,,3,1,22,2022-06-30 13:56,,"['https://wx4.sinaimg.cn/large/c3dc9ddely1h3q85qxfj6j20u00i4n40.jpg', 'https://wx3.sinaimg.cn/large/c3dc9ddely1h3q88t2rygj20zk0npgus.jpg', 'https://wx1.sinaimg.cn/large/c3dc9ddely1h3q88dibd9j20u00k0n13.jpg', 'https://wx3.sinaimg.cn/large/c3dc9ddely1h3q85r4ua5j20u0193wov.jpg']",,
4786028532989955,LA5ZHcxP5,2384228240,滨江新闻网,【十年——社区“小事”习近平心中的“国之大者”】O十年——社区“小事”习近平心中的“国之大者”【人民日报任仲平纵论香港回归祖国25周年】O网页链接【央视快评】统筹好疫情防控和经济社会发展，争取今年经济发展达到较好水平O【央视快评】统筹好疫情防控和经济社会发展，争取今年经济发展达到较好水平【香港牵动我的心（4）|他按下了香港文化发展“快进键”】O香港牵动我的心（4）|他按下了香港文化发展“快进键”【第1视点｜习近平总书记：把科技的命脉掌握在自己手中】O第1视点｜习近平总书记：把科技的命脉掌握在自己手中【香港回归25周年纪念曲：祝福】O网页链接【港人有话丨陈清泉：习主席的回信，让我们振奋不已】O港人有话丨陈清泉：习主席的回信，让我们振奋不已,,,,,0,0,0,2022-06-30 11:59,iPhone客户端,,,
4786028474537111,LA5ZBj2jd,1036713140,杭州网,【十年——社区“小事”习近平心中的“国之大者”】O十年——社区“小事”习近平心中的“国之大者”【人民日报任仲平纵论香港回归祖国25周年】O网页链接【央视快评】统筹好疫情防控和经济社会发展，争取今年经济发展达到较好水平O【央视快评】统筹好疫情防控和经济社会发展，争取今年经济发展达到较好水平【香港牵动我的心（4）|他按下了香港文化发展“快进键”】O香港牵动我的心（4）|他按下了香港文化发展“快进键”【第1视点｜习近平总书记：把科技的命脉掌握在自己手中】O第1视点｜习近平总书记：把科技的命脉掌握在自己手中【香港回归25周年纪念曲：祝福】O网页链接【港人有话丨陈清泉：习主席的回信，让我们振奋不已】O港人有话丨陈清泉：习主席的回信，让我们振奋不已,,,,,2,0,1,2022-06-30 11:59,iPhone客户端,,,
4786028475584157,LA5ZBnqH3,1894371930,凤凰网公益,#微视界•微纪录##香港回归二十五年##回归宝宝25岁#【#香港女孩做儿科医生搞适老发明#仁心呵护“一老一小”】实习儿科医生李菀容1997年出生于香港，她不仅积极投身抗疫的队伍，还参加不少社会服务工作，并为老人设计了适老化用具。作为香港特区同龄人，她亲身感受到回归后香港的发展变化。她说，香港具有一种坚持不懈的“狮子山精神”，回归后背靠祖国，未来也将越来越好。香港回归祖国25周年纪念日当天，李菀容会正式成为儿科医生，开启自己崭新的职业生涯。（via.中新视频）L中新视频的微博视频,,,,"微视界•微纪录,香港回归二十五年,回归宝宝25岁,香港女孩做儿科医生搞适老发明",1,1,0,2022-06-30 11:59,微博视频号,,"http://f.video.weibocdn.com/o0/xiqoe1eTlx07XdH6SFPi01041203q13o0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=sTs%2BCcMCD0&KID=unistore,video",
4785968014690580,LA4q5jGew,7648798526,深深小耳朵陆,#周深粤语演唱祝福#由周深@卡布叻_周深演唱《祝福》，庆祝香港回归25周年祝福祖国，祝福香港@卡布叻_周深￼咪咕音乐的微博视频,,,卡布叻_周深,周深粤语演唱祝福,0,0,0,2022-06-30 07:59,Android,,,
4786028416863589,LA5ZvsNx3,1002410351,兰州晚报,人民日报任仲平纵论香港回归祖国25周年O网页链接,,,,,0,0,0,2022-06-30 11:59,微博 weibo.com,,,
4786028345562440,LA5Zonl2M,3732167165,四川生态环境,【#香港回归25周年纪念曲祝福#】“送你送你，祝福永不断；轻轻地飘，寻觅无边路远；借那鸟语，路上细添温暖；拜托清风，奉上衷心，祝福千串。”一首#周深粤语演唱祝福#，献礼#香港回归祖国25年#。祝福祖国，祝福香港！L人民日报的微博视频,,,,"香港回归25周年纪念曲祝福,周深粤语演唱祝福,香港回归祖国25年",1,0,6,2022-06-30 11:59,微博视频号,,"http://f.video.weibocdn.com/o0/Hu3evusWlx07Xetkocwo010412033Vu50E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=z%2BN89Ie6NI&KID=unistore,video",
4785968010232238,LA4q50YpM,3702523900,宁波镇海检察,【#香港回归25周年纪念曲祝福#】“送你送你，祝福永不断；轻轻地飘，寻觅无边路远；借那鸟语，路上细添温暖；拜托清风，奉上衷心，祝福千串。”一首#周深粤语演唱祝福#，献礼#香港回归祖国25年#。祝福祖国，祝福香港！L人民日报的微博视频,,,,"香港回归25周年纪念曲祝福,周深粤语演唱祝福,香港回归祖国25年",2,14,12,2022-06-30 07:59,iPhone客户端,,"http://f.video.weibocdn.com/o0/Hu3evusWlx07Xetkocwo010412033Vu50E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=z%2BN89Ie6NI&KID=unistore,video",
4785967947581924,LA4pYvOp6,1807431510,直播南京官方版,【#香港推出光影汇演庆回归25年#幻彩灯光闪耀维港】#香港回归二十五年#为庆祝香港回归祖国25周年，香港旅游发展局将于7月1日起推出“幻彩咏香江”特别版之“维港光影汇演”。据悉，汇演将于7月1日起，每晚8时至8时10分举行，最佳观赏地点包括香港文化中心外的尖沙咀海傍、金紫荆广场的海滨长廊、星光大道及维港内的观光渡轮。（@中新视频）L中新视频的微博视频,,,中新视频,"香港推出光影汇演庆回归25年,香港回归二十五年",1,0,1,2022-06-30 07:59,微博视频号,,"http://f.video.weibocdn.com/o0/eZfQXzfrlx07Xejl6Aus01041200WXH70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=olJ4dhbp0V&KID=unistore,video",
4786028345559700,LA5ZonkkA,6381658751,成都国防动员,#小防爱分享#【#香港小朋友表白祖国祝福香港#】“我和我的祖国永远都不分开。”“我们都有一个家，名字叫中国！”#香港回归祖国25周年#之际，香港的萌娃们表白祖国，祝福香港↓↓明天会更好！（总台记者邵天凤郭锐）L央视新闻的微博视频,,,,"小防爱分享,香港小朋友表白祖国祝福香港,香港回归祖国25周年",1,1,1,2022-06-30 11:59,微博视频号,,"http://f.video.weibocdn.com/o0/zYNdZG6Glx07Xf9U0Cm401041200uTwE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636213&ssig=3%2BAGAeYZpU&KID=unistore,video",
4786028310954666,LA5Zl40lQ,2720159050,中国兰州网微博,人民日报任仲平纵论香港回归祖国25周年O网页链接,,,,,0,0,0,2022-06-30 11:58,微博 weibo.com,,,
4786028291031233,LA5Zj4kgN,2164637562,荣昌发布,人民日报任仲平纵论香港回归祖国25周年O网页链接,,,,,0,0,0,2022-06-30 11:58,微博 weibo.com,,,
